route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
224/219,Gitam University,Miyapur X Road (2),26,25,Miyapur X Road – SV,Gitam University,7:21 AM,3:16 PM
8X,Secunderabad Bus Station,Ranigunj Bus Depot,12,8,Ranigunj Bus Depot,Secunderabad Bus Station,5:00 AM,3:40 PM
15H/242RG,Rajiv Gruhakalpa Colony,Secunderabad(Towards Uppal),44,42,Secunderabad(Towards Uppal),Rajiv Gruhakalpa Colony,6:28 AM,7:20 PM
5K/92A,Aramghar,Secunderabad Bus Station,26,30,Secunderabad Bus Station,Aramghar,6:45 AM,3:00 PM
8A,Secunderabad Railway Station,Chandrayangutta X Road,37,30,Chandrayangutta X Road,Secunderabad Railway Station,5:50 AM,7:40 PM
90L/25S,L.B. Nagar Ring Road,Suchitra X Road,49,49,Suchitra X Road,L.B. Nagar Ring Road,6:25 AM,9:41 AM
24S/219,Patancheru Bus Terminal,ECIL X Road Bus Terminal,69,66,ECIL X Road Bus Terminal,Patancheru Bus Terminal,6:30 AM,7:30 PM
1P/25S,Suchitra X Road,Chandrayangutta X Road,66,62,Chandrayangutta X Road,Suchitra X Road,6:00 AM,8:34 PM
90L/251,TSRTC Rathifile Bus Station,Shamshabad,51,52,Shamshabad Bus Station,TSRTC Rathifile Bus Station,3:30 AM,11:30 PM
188/251,Mehdipatnam,Shamshabad,34,37,Shamshabad Bus Station,Mehdipatnam,5:15 AM,11:45 PM
49M/251,TSRTC Rathifile Bus Station,Rajiv Gandhi International Airport (RGIA),46,43,Rajiv Gandhi International Airport (RGIA),TSRTC Rathifile Bus Station,4:50 AM,9:25 PM
6LG,ECIL X Road Bus Terminal,Waverock,65,66,Waverock,ECIL X Road Bus Terminal,9:15 AM,8:10 PM
156S,Mehdipatnam,Saroor Nagar Bus Terminal,31,31,Saroor Nagar Bus Terminal,Mehdipatnam,7:30 AM,6:45 PM
19Y/F,Borabanda,Mehdipatnam,25,21,Mehdipatnam,Borabanda,6:07 AM,7:43 PM
49M/16A,ECIL X Road Bus Terminal,Mehdipatnam,58,64,Mehdipatnam,ECIL X Road Bus Terminal,7:45 AM,7:55 PM
5K/251,Rajiv Gandhi International Airport (RGIA),Secunderabad Railway Station,36,42,Secunderabad Railway Station,Rajiv Gandhi International Airport (RGIA),6:00 AM,7:00 PM
189MJ,Mehdipatnam,Jeedimetla Auto Stand – Apurupa Colony,38,40,Jeedimetla,Mehdipatnam,6:30 AM,7:25 PM
16P/X,Prashanth Nagar,Secunderabad(Towards Uppal),13,15,Secunderabad(Towards Uppal),Prashanth Nagar,6:10 AM,8:15 PM
86V,Koti Osmania Hospital,Musheerabad- II Depot,11,15,Musheerabad Bus Depot,Shankar Mutt,5:45 AM,4:30 PM
113f,Boduppal,Borabanda,58,56,Borabanda Bus Stand,Boduppal,6:00 AM,7:00 PM
401,Ibrahimpatnam Bus Depot,Mudwin,16,15,Mudwin,Ibrahimpatnam Bus Depot,6:45 AM,6:45 AM
224G,Miyapur X Road,Gandimaisamma Towards Bachupally,17,18,Gandimysamma X Road Bus Stop,Miyapur X Road,5:14 AM,4:01 PM
143,Talla Gadda,Nampally,11,12,Nampally,Talla Gadda,8:00 AM,6:28 PM
252N,Afzalgunj Terminal,Shamsabad Bus Station,21,22,Shamshabad Bus Stop,Afzalgunj Bus Terminus,4:40 AM,8:20 PM
251S,Shamsabad Bus Station,Afzalgunj Terminal,22,19,Afzalgunj Bus Terminus,Shamshabad Bus Stop,7:55 AM,4:05 PM
251N,Nanajipur,Afzalgunj Terminal,31,28,Afzalgung Central Library,Nanajipur,6:33 AM,4:43 PM
251M,Afzalgunj Terminal,Shamsabad Bus Station,19,19,Shamshabad Bus Stop,Afzalgunj Bus Terminus,6:45 AM,8:40 PM
95KD,Sri Ram Colony,Rajendra Nagar Bus Depot,13,13,Rajendra Nagar Bus Depot,Sri Ram Colony Bus Stop,5:35 AM,2:56 PM
92X,Mehdipatnam,Rajendra Nagar Bus Depot,17,21,Rajendra Nagar Bus Depot,Mehdipatnam Bus Stop,6:45 AM,2:35 PM
251L,Shamsabad Bus Station,Afzalgunj Central Library,24,19,Afzalgung Central Library,Shamshabad Bus Stop,9:35 AM,4:45 PM
